cores,N,run,time_seconds
1,1000,1,9.698817
2,1000,1,5.008904
4,1000,1,3.755259
8,1000,1,3.373446
16,1000,1,4.155161
32,1000,1,4.070968
1,1000,2,9.703511
2,1000,2,5.000536
4,1000,2,3.736243
8,1000,2,3.303883
16,1000,2,4.153844
32,1000,2,4.211454
1,1000,3,9.713629
2,1000,3,5.014894
4,1000,3,3.711628
8,1000,3,3.398294
16,1000,3,4.274481
32,1000,3,4.134996
1,1000,4,9.684150
2,1000,4,5.000113
4,1000,4,3.720877
8,1000,4,3.341758
16,1000,4,4.139242
32,1000,4,4.144441
1,1000,5,9.708362
2,1000,5,5.013172
4,1000,5,3.719756
8,1000,5,3.349818
16,1000,5,4.143745
32,1000,5,4.155635
