cores,N,run,time_seconds
1,3500,1,438.276583
2,3500,1,234.727276
4,3500,1,169.475274
8,3500,1,101.242266
16,3500,1,95.256773
32,3500,1,68.319024
1,3500,2,438.336123
2,3500,2,234.201546
4,3500,2,167.540646
8,3500,2,104.076871
16,3500,2,95.751935
32,3500,2,67.619672
1,3500,3,
2,3500,3,233.545139
4,3500,3,173.939880
8,3500,3,103.023646
16,3500,3,94.477548
32,3500,3,69.513523
1,3500,4,439.079752
2,3500,4,233.777809
4,3500,4,171.492858
8,3500,4,99.934637
16,3500,4,95.138992
32,3500,4,67.067050
1,3500,5,438.823793
2,3500,5,234.097362
4,3500,5,169.404829
8,3500,5,107.083044
16,3500,5,94.412213
32,3500,5,68.109951
