cores,N,run,time_seconds
1,3750,1,541.901314
2,3750,1,293.539415
4,3750,1,225.974405
8,3750,1,137.772530
16,3750,1,117.012015
32,3750,1,85.840126
1,3750,2,542.225937
2,3750,2,293.019340
4,3750,2,216.286789
8,3750,2,134.677117
16,3750,2,117.279074
32,3750,2,81.120245
1,3750,3,542.432320
2,3750,3,293.845402
4,3750,3,214.601481
8,3750,3,137.279026
16,3750,3,118.755858
32,3750,3,84.336061
1,3750,4,542.859711
2,3750,4,291.739250
4,3750,4,219.325972
8,3750,4,137.465152
16,3750,4,116.639044
32,3750,4,81.571567
1,3750,5,541.854038
2,3750,5,291.114397
4,3750,5,217.090586
8,3750,5,141.217298
16,3750,5,116.927404
32,3750,5,80.687365
