cores,N,run,time_seconds
32,4000,1,101.665705
16,4000,1,138.460756
8,4000,1,185.259319
4,4000,1,296.366433
2,4000,1,353.979886
1,4000,1,657.050650
32,4000,2,100.197229
16,4000,2,139.491665
8,4000,2,184.946534
4,4000,2,288.961191
2,4000,2,354.287506
1,4000,2,661.548519
32,4000,3,101.372335
16,4000,3,140.705055
8,4000,3,183.545426
4,4000,3,293.656574
2,4000,3,354.697829
1,4000,3,662.865947
32,4000,4,97.927802
16,4000,4,143.674576
8,4000,4,173.780158
4,4000,4,287.395530
2,4000,4,357.671266
1,4000,4,662.546408
32,4000,5,99.092346
16,4000,5,139.918077
8,4000,5,178.892665
4,4000,5,296.222464
2,4000,5,356.428065
1,4000,5,658.659487
