cores,N,run,time_seconds
1,3250,1,349.901119
2,3250,1,187.435314
4,3250,1,128.272933
8,3250,1,82.643437
16,3250,1,77.860334
32,3250,1,56.321244
1,3250,2,351.024957
2,3250,2,187.708352
4,3250,2,126.658722
8,3250,2,80.491973
16,3250,2,77.891008
32,3250,2,56.596787
1,3250,3,350.608581
2,3250,3,187.385893
4,3250,3,128.554828
8,3250,3,79.251190
16,3250,3,77.606241
32,3250,3,56.355143
1,3250,4,351.508743
2,3250,4,187.713511
4,3250,4,128.328912
8,3250,4,82.634714
16,3250,4,77.907011
32,3250,4,56.061197
1,3250,5,352.244260
2,3250,5,187.561078
4,3250,5,131.539225
8,3250,5,81.773350
16,3250,5,77.734297
32,3250,5,57.099245
