cores,N,run,time_seconds
1,3000,1,272.723159
2,3000,1,145.873736
4,3000,1,104.171966
8,3000,1,64.180565
16,3000,1,64.018873
32,3000,1,46.772712
1,3000,2,272.974368
2,3000,2,145.901458
4,3000,2,102.986739
8,3000,2,64.894281
16,3000,2,64.367841
32,3000,2,47.219188
1,3000,3,272.654835
2,3000,3,146.000078
4,3000,3,102.771703
8,3000,3,64.658924
16,3000,3,63.539173
32,3000,3,46.958260
1,3000,4,272.582828
2,3000,4,145.923226
4,3000,4,101.155107
8,3000,4,63.685129
16,3000,4,63.584025
32,3000,4,46.764565
1,3000,5,273.698599
2,3000,5,146.084978
4,3000,5,102.058255
8,3000,5,63.658132
16,3000,5,63.461726
32,3000,5,46.575224
